id	movieId	castId
192/3	192	611
193/1	193	613
193/2	193	614
193/3	193	615
194/1	194	616
194/2	194	617
194/3	194	618
195/1	195	620
195/2	195	621
195/3	195	622
196/1	196	279
196/2	196	623
196/3	196	624
197/1	197	625
197/2	197	626
197/3	197	627
198/1	198	629
198/2	198	630
198/3	198	631
199/1	199	88
199/2	199	632
199/3	199	633
200/1	200	635
200/2	200	636
200/3	200	637
201/1	201	638
201/2	201	639
201/3	201	640
202/1	202	641
202/2	202	642
202/3	202	643
203/1	203	645
203/2	203	646
203/3	203	647
204/1	204	331
204/2	204	648
204/3	204	375
205/1	205	650
205/2	205	651
205/3	205	652
206/1	206	653
206/2	206	395
206/3	206	654
207/1	207	656
207/2	207	657
207/3	207	658
208/1	208	660
208/2	208	661
208/3	208	662
209/1	209	664
209/2	209	665
209/3	209	666
210/1	210	668
210/2	210	669
210/3	210	670
211/1	211	672
212/1	212	638
212/2	212	470
212/3	212	674
213/1	213	676
213/2	213	677
213/3	213	678
214/1	214	680
214/2	214	681
214/3	214	682
215/1	215	684
215/2	215	685
215/3	215	686
216/1	216	688
216/2	216	689
216/3	216	690
217/1	217	692
217/2	217	693
217/3	217	694
218/1	218	696
218/2	218	697
218/3	218	698
219/1	219	700
219/2	219	701
219/3	219	702
220/1	220	704
220/2	220	705
220/3	220	676
221/1	221	707
221/2	221	708
221/3	221	709
222/1	222	711
222/2	222	712
222/3	222	713
223/1	223	715
223/2	223	716
223/3	223	717
224/1	224	171
224/2	224	719
224/3	224	720
225/1	225	722
225/2	225	723
225/3	225	724
226/1	226	726
226/2	226	727
226/3	226	728
227/1	227	221
227/2	227	418
227/3	227	730
228/1	228	732
228/2	228	733
228/3	228	734
229/1	229	736
229/2	229	737
229/3	229	738
230/1	230	739
230/2	230	740
230/3	230	741
231/1	231	743
231/2	231	744
231/3	231	190
232/1	232	566
232/2	232	745
232/3	232	420
234/1	234	747
234/2	234	748
234/3	234	749
235/1	235	751
235/2	235	752
235/3	235	753
236/1	236	44
236/2	236	176
236/3	236	755
237/1	237	101
237/2	237	756
237/3	237	757
238/1	238	759
238/2	238	760
238/3	238	411
239/1	239	416
239/2	239	762
239/3	239	763
240/1	240	765
240/2	240	766
240/3	240	767
241/1	241	768
241/2	241	769
241/3	241	770
242/1	242	44
242/2	242	771
242/3	242	772
243/1	243	773
243/2	243	774
243/3	243	775
244/1	244	777
244/2	244	778
244/3	244	779
245/1	245	781
245/2	245	485
245/3	245	782
246/1	246	784
246/2	246	785
246/3	246	786
247/1	247	474
247/2	247	787
247/3	247	788
248/1	248	790
248/2	248	791
248/3	248	792
249/1	249	794
249/2	249	623
249/3	249	795
250/1	250	797
250/2	250	798
250/3	250	799
